Name,Unit,Base Price,Min Price,Max Price
Solar Panel - Standard (370W),panel,650.00,600.00,750.00
Solar Panel - Premium (400W),panel,750.00,700.00,850.00
Solar Panel - High Efficiency (450W),panel,950.00,875.00,1050.00
Solar Inverter - String (7.5kW),unit,2200.00,2000.00,2500.00
Solar Inverter - String (10kW),unit,2800.00,2500.00,3200.00
Solar Inverter - Microinverter,panel,175.00,150.00,200.00
Solar Inverter - Power Optimizer,panel,125.00,100.00,150.00
Battery Storage - 10kWh,unit,7500.00,7000.00,8500.00
Battery Storage - 13.5kWh,unit,10000.00,9500.00,11000.00
Battery Storage - 20kWh,unit,15000.00,14000.00,16500.00
Mounting System - Standard,panel,85.00,75.00,100.00
Mounting System - Premium,panel,125.00,110.00,145.00
Electrical Panel Upgrade - 200A,unit,2500.00,2200.00,2900.00
Electrical Work - Standard,system,1200.00,1000.00,1500.00
System Design,system,1500.00,1200.00,1800.00
Permit Fees,system,800.00,700.00,1000.00
Monitoring System,unit,450.00,375.00,550.00
Solar Roof - Small,square,3200.00,3000.00,3500.00
Solar Roof - Medium,square,3600.00,3300.00,3900.00 